id,partnerid,sessionid,ageyo,sex,ethnicity,rfattrac,rkindunder,sim_manuallandmarks,avg_manuallandmarks,LD1_manuallandmarks,year,ethnicityhighgroup,partnerclass_hg,ethnicmatch_hg,partnermasc_LDA_manuallandmarks,sim_NN,sim_autolandmarks,LD1_autolandmarks,gsd_autolandmarked,pitch_angle,roll_angle,yaw_angle,avg_NN,LD_NN,gsd_NN,gsd_manuallandmarks,avg_autolandmark
14000042,14001042,1404,17.91667,1,Caucasian,2,4,-0.114630694,-0.072718083,0.284636314,2014,Caucasian,Caucasian,1,-0.830313175,-834.8114225,-0.10886098,2.3770949,1.708857504,-5.8343773,-1.8303431,6.020519,-469.3648152,4.256903207,0.884757852,1.900383103,-0.046973663
14000042,14001043,1404,17.91667,1,Caucasian,4,4,-0.07829906,-0.072718083,0.284636314,2014,Caucasian,Caucasian,1,-0.662162355,-647.759723,-0.083661135,2.3770949,1.708857504,-5.8343773,-1.8303431,6.020519,-469.3648152,4.256903207,0.884757852,1.900383103,-0.046973663
14000042,14001044,1404,17.91667,1,Caucasian,2,6,-0.087933875,-0.072718083,0.284636314,2014,Caucasian,Caucasian,1,-1.169838257,-784.9699601,-0.0825403,2.3770949,1.708857504,-5.8343773,-1.8303431,6.020519,-469.3648152,4.256903207,0.884757852,1.900383103,-0.046973663
14000042,14001045,1404,17.91667,1,Caucasian,5,6,-0.110796536,-0.072718083,0.284636314,2014,Caucasian,Caucasian,1,-0.896632226,-708.2709946,-0.094338814,2.3770949,1.708857504,-5.8343773,-1.8303431,6.020519,-469.3648152,4.256903207,0.884757852,1.900383103,-0.046973663
14000043,14001041,1404,18.16667,1,Caucasian,5,6,-0.061209671,-0.089336529,0.931116914,2014,Caucasian,Caucasian,1,-0.356977437,-821.6100144,-0.054995291,0.75673953,0.224299176,8.6463585,-2.737344,-1.0345773,-544.6463002,2.493153473,0.781019628,-0.26120903,-0.051097448
14000043,14001042,1404,18.16667,1,Caucasian,4,3,-0.105830455,-0.089336529,0.931116914,2014,Caucasian,Caucasian,1,-0.830313175,-963.1002246,-0.111216499,0.75673953,0.224299176,8.6463585,-2.737344,-1.0345773,-544.6463002,2.493153473,0.781019628,-0.26120903,-0.051097448
14000043,14001043,1404,18.16667,1,Caucasian,4,5,-0.044212103,-0.089336529,0.931116914,2014,Caucasian,Caucasian,1,-0.662162355,-756.7084952,-0.059235897,0.75673953,0.224299176,8.6463585,-2.737344,-1.0345773,-544.6463002,2.493153473,0.781019628,-0.26120903,-0.051097448
14000043,14001044,1404,18.16667,1,Caucasian,5,6,-0.066892644,-0.089336529,0.931116914,2014,Caucasian,Caucasian,1,-1.169838257,-937.0493778,-0.062861515,0.75673953,0.224299176,8.6463585,-2.737344,-1.0345773,-544.6463002,2.493153473,0.781019628,-0.26120903,-0.051097448
14000043,14001045,1404,18.16667,1,Caucasian,6,5,-0.076932697,-0.089336529,0.931116914,2014,Caucasian,Caucasian,1,-0.896632226,-869.1963921,-0.067729814,0.75673953,0.224299176,8.6463585,-2.737344,-1.0345773,-544.6463002,2.493153473,0.781019628,-0.26120903,-0.051097448
14000044,14001041,1404,20.83333,1,Caucasian,3,5,-0.069576758,-0.075276782,1.441105348,2014,Caucasian,Caucasian,1,-0.356977437,-875.1443916,-0.0704069,2.449473802,1.924038412,1.3600528,-1.7655396,2.2621858,-581.4692264,3.509870946,0.529584755,0.731130603,-0.052396633
